H1,H1,H3,H1,H1,H1
H1,H1,H1,H1,H1,L1
H1,H1,H1,H1,L4,H2
H1,H1,H1,L4,H3,H1
H1,H2,H1,SC,H1,H1
H3,H1,H3,H1,H4,H1
H1,H3,H2,H1,H1,H1
H1,H2,H1,H1,H2,H1
H1,H4,H4,H1,H1,SC
H4,H1,H1,H2,H4,H3
H4,H1,H4,H2,H1,H1
H1,H2,H1,H1,H1,H1
H1,H2,H2,H1,H1,H1
H1,H4,H1,L2,H1,H2
H1,H2,SC,H1,H1,H1
H1,H1,H1,SC,H1,H4
H1,SC,L2,H1,H1,H2
H1,H3,L4,H1,H2,H1
SC,H1,H1,H4,H1,H1
SC,L4,H1,H2,H1,H1
H1,L2,H1,H1,H1,L2
H2,H4,H1,H1,H1,H1
H1,H1,H1,SC,H1,H3
L3,H3,H1,H1,H1,H2
H3,H1,H2,H3,H1,H4
H1,H2,H2,H1,H4,H3
H2,H1,H1,H2,H1,H4
H1,H1,H1,H1,H1,H1
H1,H2,SC,H1,H1,H1
L2,H4,H1,H2,H1,H2
H1,H1,H1,H1,H1,H1
L3,H1,H3,H4,H1,H2
H3,L3,H1,L3,H3,H1
H1,H1,H2,H1,H2,H1
H4,H1,H2,L1,H4,H1
H1,H1,SC,H1,H1,H1
H1,H1,H1,H3,H2,L1
H3,H1,H2,H1,H1,H2
H1,L1,H1,H1,H3,H2
H4,H2,L1,H1,H1,H1
H1,H1,H3,L1,H2,H1
L1,H1,H1,H1,H1,H1
H1,SC,L1,H1,H2,H1
H1,H1,H1,SC,H1,H1
L2,H1,H1,H2,H2,H1
H1,SC,L3,H1,H2,SC
L1,H2,L2,H1,H1,H1
H1,SC,H3,H3,H1,L4
H2,H2,H1,H3,H1,H1
H3,H1,H1,H1,H1,H2
SC,L3,H4,H1,SC,H4
H1,H2,H1,H2,H1,H1
H1,H1,H2,L2,H3,H1
SC,H2,H1,H1,SC,H1
L4,L4,H1,H3,H3,H3
H1,H1,H4,H3,H1,H1
H2,H1,H1,H1,H1,H1
H1,H3,H1,H1,H1,H2
H1,H1,H1,H1,H1,H1
H2,H1,H1,H1,L1,H1
H1,H1,H2,H1,H1,H1
H1,H3,H1,H4,H1,H3
SC,L1,H4,H1,L1,H1
H3,H3,H1,H1,H1,H4
H2,H1,H1,H3,H3,SC
H1,SC,L4,H2,H2,H1
H2,H1,L3,H1,L2,H2
H1,H1,H2,H1,SC,H1
H1,H1,H1,H1,H1,SC
H1,H1,H1,H1,H4,H1
H2,H1,H2,H1,H2,H2
H1,H1,H1,H1,H2,L4
H1,L2,H1,H4,L3,H1
H1,H1,H1,H1,H2,H1
H1,H1,H1,L4,SC,L3
H1,H4,H1,SC,H3,H3
H1,H1,H3,H1,H1,H1
H1,H1,H1,H1,H1,H1
H3,SC,SC,H1,H1,H1
H1,H1,H1,H4,H1,H3
H2,H4,SC,H3,H1,H1
H1,H1,H1,H1,H3,H1
H1,H1,H1,H1,H1,H4
H1,H1,H1,H1,L2,H1
H1,H1,H1,H2,H1,SC
H1,H1,H3,H2,H4,H1
H2,H1,H1,H1,H1,H1
H1,H1,H2,SC,L3,L3
H3,H1,H1,H1,SC,H1
L4,H1,H1,H1,H1,H1
H1,H1,SC,H1,H1,H1
H2,H1,H1,H2,L4,H1
H1,H1,H3,H1,H1,H3
H4,H1,H1,H2,H1,L2
H1,H3,H4,H1,SC,H1
H4,H1,H1,H1,H1,H1
SC,H3,H1,H4,H1,H1
H1,H1,H1,H1,H1,SC
H2,H1,H1,H1,H1,H1
H1,H1,H1,L3,H1,H1
